pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
26.0,2023-03-05 15:00:00,7.5,56.0,9.0
5.0,2023-03-15 17:00:00,4.668407310704956,77.81462140992167,9.1639686684073
42.0,2023-02-24 09:00:00,7.9,74.0,12.2
22.0,2023-03-05 02:00:00,1.2,84.0,1.8
31.0,2023-02-24 14:00:00,12.7,54.0,24.7
21.0,2023-02-24 23:00:00,6.2,86.0,17.6
39.0,2023-03-07 15:00:00,8.8,68.0,12.3
9.0,2023-03-15 11:00:00,4.668407310704956,77.81462140992167,9.1639686684073
2.0,2023-03-11 15:00:00,4.668407310704956,77.81462140992167,9.1639686684073
15.0,2023-03-08 05:00:00,1.3,96.0,3.8
5.0,2023-02-26 00:00:00,1.5,93.0,6.5
32.0,2023-03-06 09:00:00,4.7,69.0,0.8
28.0,2023-03-06 04:00:00,1.0,97.0,4.0
10.0,2023-03-12 17:00:00,4.668407310704956,77.81462140992167,9.1639686684073
17.0,2023-03-09 23:00:00,7.1,91.0,9.8
28.0,2023-02-24 05:00:00,-0.6,96.0,9.4
31.0,2023-02-23 11:00:00,9.4,73.0,0.7
5.0,2023-03-15 07:00:00,4.668407310704956,77.81462140992167,9.1639686684073
32.0,2023-03-04 23:00:00,1.7,84.0,7.3
21.0,2023-03-08 09:00:00,8.6,76.0,8.0
19.67161410018553,2023-03-15 13:00:00,4.668407310704956,77.81462140992167,9.1639686684073
23.0,2023-03-03 14:00:00,8.6,66.0,4.5
4.0,2023-03-09 17:00:00,12.6,65.0,10.9
9.0,2023-03-09 05:00:00,7.1,86.0,23.7
5.0,2023-02-27 03:00:00,-0.5,61.0,15.5
19.67161410018553,2023-02-26 03:00:00,0.7,96.0,7.9
31.0,2023-03-07 22:00:00,4.4,85.0,10.5
30.0,2023-03-06 02:00:00,1.1,95.0,3.9
47.0,2023-02-23 15:00:00,9.5,79.0,3.9
9.0,2023-03-14 08:00:00,4.668407310704956,77.81462140992167,9.1639686684073
23.0,2023-03-04 16:00:00,11.6,52.0,7.2
